h,x,r,alpha,RMSE relative u,RMSE relative Iu
0.04,0.3,37.0,0.3,0.8700221055665596,0.7250779848977738
0.04,0.3,37.0,0.4,0.9088309906641475,0.9236717398886892
0.04,0.3,37.0,0.5,0.8711759672551806,1.1436302912692373
0.04,0.3,37.0,0.6,0.7745944923176779,1.3523962566269
0.04,0.3,37.0,0.7,0.6655405688238478,1.5282740490635542
0.04,0.3,37.0,0.8,0.583925964859325,1.6623081410336524
0.04,0.3,37.0,0.9,0.5327394356299339,1.7785998356255315
0.04,0.3,37.0,1.0,0.5094532393352567,1.8740727178755974
0.04,0.3,42.0,0.3,0.8470072253573578,0.7712040299291668
0.04,0.3,42.0,0.4,0.8923060565773345,0.9300701687022866
0.04,0.3,42.0,0.5,0.8774548498222223,1.1377853526983084
0.04,0.3,42.0,0.6,0.8010174000209366,1.338821676984331
0.04,0.3,42.0,0.7,0.6933197607834756,1.5227269980143225
0.04,0.3,42.0,0.8,0.6047603488331309,1.6514597775069555
0.04,0.3,42.0,0.9,0.5422089724083324,1.7725458377934007
0.04,0.3,42.0,1.0,0.5057531447791707,1.8614833183143855
0.04,0.3,47.0,0.3,0.8377393530440994,0.7130015133979808
0.04,0.3,47.0,0.4,0.895954151191715,0.8847046228072201
0.04,0.3,47.0,0.5,0.8956493208562075,1.0846046625714534
0.04,0.3,47.0,0.6,0.8382519639292557,1.2918330149880384
0.04,0.3,47.0,0.7,0.7416060395259502,1.4765483526981917
0.04,0.3,47.0,0.8,0.6485637500310591,1.6175269731868875
0.04,0.3,47.0,0.9,0.5762450992924152,1.736973470068764
0.04,0.3,47.0,1.0,0.5268464116341859,1.833151661850619
0.04,0.3,52.0,0.3,0.8433267911271858,0.7625885829060788
0.04,0.3,52.0,0.4,0.8997194472869197,0.894401565257074
0.04,0.3,52.0,0.5,0.9045027371453954,1.0801691081024052
0.04,0.3,52.0,0.6,0.8589821989480891,1.274799310409095
0.04,0.3,52.0,0.7,0.7689814882283094,1.4654130917161468
0.04,0.3,52.0,0.8,0.6759658857704263,1.5992408715865045
0.04,0.3,52.0,0.9,0.5989545625844727,1.7240516892988764
0.04,0.3,52.0,1.0,0.5416380806033454,1.8163619889486418
0.04,0.3,57.0,0.3,0.8337906646636204,0.696646552754463
0.04,0.3,57.0,0.4,0.8962619701268665,0.8371669274063022
0.04,0.3,57.0,0.5,0.9079422017222278,1.0144497562924462
0.04,0.3,57.0,0.6,0.8751563456105212,1.21220249233473
0.04,0.3,57.0,0.7,0.8022414046212947,1.4025322541212988
0.04,0.3,57.0,0.8,0.7131771618335839,1.5501774280811933
0.04,0.3,57.0,0.9,0.6313837677385886,1.6727797301122282
0.04,0.3,57.0,1.0,0.5659458243666992,1.771163659424358
0.04,0.3,62.0,0.3,0.8178181034042407,0.7434561292510727
0.04,0.3,62.0,0.4,0.8851001753079288,0.8512111814111865
0.04,0.3,62.0,0.5,0.9030396439033405,1.0152477053331612
0.04,0.3,62.0,0.6,0.8818153342657913,1.1988487544790019
0.04,0.3,62.0,0.7,0.8228799225678056,1.3886195940721657
0.04,0.3,62.0,0.8,0.7389413060726424,1.5300528792044752
0.04,0.3,62.0,0.9,0.6553008904419478,1.6552908187866766
0.04,0.3,62.0,1.0,0.5849694200450616,1.7490899487035376
0.04,0.6,37.0,0.3,0.6115827149403221,0.6123412819106279
0.04,0.6,37.0,0.4,0.7126762649290294,0.8880629075875283
0.04,0.6,37.0,0.5,0.7143679509169639,1.134439973047045
