x,z,y,u,w,v,uu,ww,vv,vw,uv,uw,Iu,Iv,Iw,Iuv
-18.0,0.0,2.0,13.241428,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.16163207416771433,0.08081602826234902,0.12930565933417146,0.07054202043869212
-18.0,0.0,2.1,13.352259,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.16029044018562322,0.08014521134452676,0.12823235214849857,0.06995648336461045
-18.0,0.0,2.2,13.457947,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.15903164669785438,0.0795158146693444,0.1272253173582835,0.06940710084632301
-18.0,0.0,2.3,13.558949,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1578470036713354,0.07892349322074002,0.1262776029370683,0.0688900802424635
-18.0,0.0,2.4,13.655663,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1567290780815585,0.07836453048686538,0.12538326246524678,0.06840217751517962
-18.0,0.0,2.5,13.748438,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.15567146410250018,0.07783572355505837,0.12453717128200013,0.06794059693279123
-18.0,0.0,2.6,13.837582,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1546686026924682,0.07733429290477625,0.12373488215397455,0.06750291233059867
-18.0,0.0,2.7,13.923369,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.15371563251555348,0.07685780786832984,0.12297250601244278,0.06708700204767039
-18.0,0.0,2.8,14.006043,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.15280828943495672,0.07640413637755215,0.12224663154796536,0.06669100506213427
-18.0,0.0,2.9,14.085822,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.15194281686808547,0.07597140014135204,0.12155425349446836,0.06631328186693473
-18.0,0.0,3.0,14.1629,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.151115906529203,0.07555794501704167,0.12089272522336239,0.06595238860780421
-18.0,0.0,3.1,14.237457,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.15032456095090924,0.07516227227108463,0.12025964876072738,0.06560701708271852
-18.0,0.0,3.2,14.30965,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14956616497136194,0.0747830743227025,0.11965293197708954,0.06527602594147798
-18.0,0.0,3.3,14.379626,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14883832671186645,0.07441915523267849,0.11907066136949315,0.06495837128263769
-18.0,0.0,3.4,14.447517,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1481389135989561,0.07406944871439568,0.11851113087916487,0.06465312237483233
-18.0,0.0,3.5,14.513442,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14746601616504545,0.07373300003416555,0.11797281293203635,0.06435944585808592
-18.0,0.0,3.6,14.577514,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14681786432051783,0.07340892414727639,0.11745429145641426,0.06407656920195516
-18.0,0.0,3.7,14.639833,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14619288844226908,0.07309643624226175,0.11695431075381525,0.0638038073667555
-18.0,0.0,3.8,14.700493,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14558963924423823,0.07279481167617029,0.11647171139539057,0.06354052783219381
-18.0,0.0,3.9,14.759579,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14500681032856352,0.0725033972501424,0.11600544826285081,0.06328616043949968
-18.0,0.0,4.0,14.817171,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1444431917929846,0.07222158801311394,0.11555455343438767,0.06304017714403581
-18.0,0.0,4.1,14.873344,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14389766501618262,0.07194882465448656,0.11511813201294607,0.06280208973943387
-18.0,0.0,4.2,14.928164,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14336923633626006,0.0716846103433657,0.11469538906900803,0.06257146455608809
-18.0,0.0,4.3,14.981697,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14285694555045728,0.07142846497842398,0.11428555644036582,0.06234788252715765
-18.0,0.0,4.4,15.034,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14235994895453302,0.07117996670758678,0.1138879591636264,0.062130975429923525
-18.0,0.0,4.5,15.08513,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14187742979891121,0.07093870715611067,0.11350194383912895,0.061920386805647036
-18.0,0.0,4.6,15.135137,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14140866201491598,0.07070432328969732,0.11312692961193277,0.061715799771978955
-18.0,0.0,4.7,15.18407,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14095295086116236,0.07047646773769217,0.11276236068892986,0.0615169111189207
-18.0,0.0,4.8,15.231974,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14050965899642748,0.0702548218295186,0.11240772719714197,0.06132344268795826
-18.0,0.0,4.9,15.278892,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.14007818581232523,0.07003908526101628,0.11206254864986016,0.061135132352101856
-18.0,0.0,5.0,15.324862,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1396579931736057,0.06982898896458968,0.11172639453888455,0.06095174524987372
-18.0,0.0,5.1,15.369924,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1392485397183779,0.06962426225932279,0.11139883177470229,0.06077304511157442
