h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu
0.08,0.3,52.0,0.1,0.3839645138453133,0.276646414677525,2.025463077141289,0.48612935701716614
0.08,0.3,52.0,0.2,0.9892962271723755,0.6665656261342807,1.8230251024645678,0.4513745557868972
0.08,0.3,52.0,0.3,1.2128071249100119,0.7923297049075072,1.6886089928165222,0.4217305140955853
0.08,0.3,52.0,0.4,1.2683594502460986,0.8205102700838763,1.529861083217034,0.38019842487591515
0.08,0.3,52.0,0.5,1.2661034009003853,0.8124703844111363,1.432313470114884,0.35129056744886084
0.08,0.3,52.0,0.6,1.2176810536655651,0.7747333005996135,1.3918094265093375,0.33475196427915205
0.08,0.3,52.0,0.7,1.106117680015302,0.6958257762630311,1.4034771464007825,0.3301684541411601
0.08,0.3,52.0,0.8,0.9894805960980734,0.6170752931439505,1.4589745773437701,0.33621379286387393
0.08,0.3,62.0,0.1,0.36585376471653985,0.2641574143670596,2.079389524250039,0.498969534324678
0.08,0.3,62.0,0.2,0.9766403301257979,0.658418174798876,1.879596729017323,0.4648555630983055
0.08,0.3,62.0,0.3,1.2017310261173026,0.7854375256214541,1.735485243956733,0.4336306844194683
0.08,0.3,62.0,0.4,1.271409204593114,0.8234107121026347,1.5557256696043344,0.38828392134477396
0.08,0.3,62.0,0.5,1.2994822416365217,0.8365149924156632,1.430797543418159,0.3542198045587303
0.08,0.3,62.0,0.6,1.3081709196049094,0.8385695907725689,1.3634789325537793,0.332194241678739
0.08,0.3,62.0,0.7,1.2803772759088552,0.8163691939809239,1.3536378222370717,0.3226085869175828
0.08,0.3,62.0,0.8,1.2119067878765513,0.7669605982133043,1.3707775356701486,0.320353009517695
0.08,0.3,72.0,0.1,0.376413058865349,0.27155240248062035,2.189327771232658,0.5253038027203342
0.08,0.3,72.0,0.2,0.9893590664449212,0.6669457582608987,1.9926693689460646,0.49236745399319837
0.08,0.3,72.0,0.3,1.2236481765602005,0.800160968250614,1.841237023509249,0.4599620358757466
0.08,0.3,72.0,0.4,1.3054333689313755,0.8465868295749929,1.6431891517128887,0.41101285621555006
0.08,0.3,72.0,0.5,1.3530960554146718,0.8734779024769616,1.4930164647282598,0.3719907097636513
0.08,0.3,72.0,0.6,1.384550777484061,0.8915941458352621,1.392996784102501,0.34345172227107207
0.08,0.3,72.0,0.7,1.3895726543212679,0.8923542940744763,1.3465333589794015,0.32627746741533564
0.08,0.3,72.0,0.8,1.3799640634622619,0.8838097164954403,1.338001204912318,0.31794259463224367
0.08,0.3,82.0,0.1,0.37731988966828695,0.27180966143895374,2.1620847064993,0.5187650349565291
0.08,0.3,82.0,0.2,0.9887420405818396,0.6664029657991806,1.961784212591969,0.485006310861939
0.08,0.3,82.0,0.3,1.2239987913353298,0.8003474129637766,1.813673750279128,0.45315114575941257
0.08,0.3,82.0,0.4,1.3030502400296315,0.8449413833231894,1.6213551111397004,0.4053077947542059
0.08,0.3,82.0,0.5,1.3382163689374722,0.8630230274653736,1.4743592424617897,0.3669951075062234
0.08,0.3,82.0,0.6,1.3595546274709827,0.8739856257180147,1.373361668195839,0.33846298724017476
0.08,0.3,82.0,0.7,1.36010037336668,0.8716868548586,1.3180708724819752,0.31991573475366264
0.08,0.3,82.0,0.8,1.3524075771133042,0.8646037405316195,1.297698186782633,0.30964448246900994
0.08,0.3,92.0,0.1,0.38421418362195475,0.27633349969151855,2.182307328153921,0.5235769084222626
0.08,0.3,92.0,0.2,0.9845050939498405,0.6630699821658155,1.9857812357949303,0.490669976889287
0.08,0.3,92.0,0.3,1.2009045520730277,0.7840554208199935,1.8349251938060152,0.45838627876179233
0.08,0.3,92.0,0.4,1.2776307091743813,0.8272955144376154,1.6378165312404518,0.40965789796295415
0.08,0.3,92.0,0.5,1.3146965049293873,0.8469252008362411,1.4859262362023906,0.37041230948708564
0.08,0.3,92.0,0.6,1.3365398023860706,0.8584089077648356,1.3781279454884103,0.3405616625576568
0.08,0.3,92.0,0.7,1.3402654554029167,0.8585264639350426,1.3146391441494523,0.32035666330796647
0.08,0.3,92.0,0.8,1.3342096676211144,0.852714531240954,1.2811717069335473,0.30741722830626445
0.08,0.6,52.0,0.1,0.15025783096382217,0.09829759319410844,1.117378409460619,0.2611817718952008
0.08,0.6,52.0,0.2,0.5330153774306595,0.3667524947339143,0.9850514147821577,0.24051714380404307
0.08,0.6,52.0,0.3,0.8577541871951875,0.5696210837323752,0.9093318643782832,0.22554106609248947
0.08,0.6,52.0,0.4,0.9992274994072683,0.6555934201177804,0.8898772182895838,0.21693693463401312
0.08,0.6,52.0,0.5,1.056763137255915,0.6870797187726636,0.9288822773608387,0.21982534077597618
0.08,0.6,52.0,0.6,1.0473966057443669,0.674706537447429,1.010940599225978,0.23234548435573438
0.08,0.6,52.0,0.7,0.9587019535106502,0.610497679013988,1.1164768296229672,0.2510698894288151
0.08,0.6,52.0,0.8,0.8733551501391246,0.5515765460808522,1.243587645263607,0.27580234345742344
0.08,0.6,62.0,0.1,0.1531212272272605,0.10012935267842896,1.187704120870418,0.2778292859942585
0.08,0.6,62.0,0.2,0.5268162668342821,0.3625739659033996,1.0666858686471248,0.25965079986885786
0.08,0.6,62.0,0.3,0.8529629687149093,0.566548238451632,0.9747905844149798,0.2421347916729107
0.08,0.6,62.0,0.4,1.0078318497915977,0.6618348986650735,0.9173503860104456,0.22668688790837738
0.08,0.6,62.0,0.5,1.0996964792287904,0.7171476294395797,0.9124827854559663,0.22099059698331522
0.08,0.6,62.0,0.6,1.1521251010219542,0.7474338183757545,0.9592295345458569,0.22565021794611026
0.08,0.6,62.0,0.7,1.1539816268991292,0.7440118020849326,1.0434447068536974,0.23869194015184175
0.08,0.6,62.0,0.8,1.1090387028798785,0.7094042354062787,1.1311267448600275,0.2543370387656019
0.08,0.6,72.0,0.1,0.14074901416650312,0.09221934835796046,1.3143702192346052,0.3083108896665013
0.08,0.6,72.0,0.2,0.5464832576424069,0.37567003943428234,1.200181989638686,0.2919779240831937
0.08,0.6,72.0,0.3,0.8836184700942802,0.5869261097447077,1.099250313037815,0.2730073482121954
0.08,0.6,72.0,0.4,1.0526820360547093,0.6920687222523932,1.0139565140910718,0.25222639529467056
0.08,0.6,72.0,0.5,1.1646737930693594,0.7613968819026233,0.9711240040785151,0.23912071021318387
0.08,0.6,72.0,0.6,1.2395516941356122,0.8073180581118704,0.972837989044537,0.23454850707043717
0.08,0.6,72.0,0.7,1.2775788184023975,0.8290005457288294,1.0133805640527318,0.2380083299416335
0.08,0.6,72.0,0.8,1.2915341302770054,0.8349234396778731,1.075547871621045,0.2470200949670296
0.08,0.6,82.0,0.1,0.1458627107294171,0.09544089680343136,1.280579496503529,0.3002808593899006
0.08,0.6,82.0,0.2,0.539978293595576,0.3714368444539107,1.16152651377439,0.28281413297115654
0.08,0.6,82.0,0.3,0.8845953433607118,0.5879706521350164,1.0634759734448072,0.2642285247684311
0.08,0.6,82.0,0.4,1.0522012574550967,0.6919986914559177,0.9859585100078826,0.24485388181307058
0.08,0.6,82.0,0.5,1.1511912661514485,0.7521391544573296,0.9476412885395633,0.23271213260284354
0.08,0.6,82.0,0.6,1.2163337862864738,0.791201209163007,0.9477804523864901,0.22809692442242893
0.08,0.6,82.0,0.7,1.2500473891722539,0.8099003815965001,0.9781521257612934,0.22995673013279608
0.08,0.6,82.0,0.8,1.2655160592513353,0.8169472180964801,1.0270765926375753,0.2367482719300408
0.08,0.6,92.0,0.1,0.14259320551821983,0.09334842710494205,1.3267202914852014,0.31119987248537906
0.08,0.6,92.0,0.2,0.5316064220280204,0.36535229279519726,1.2119459909353718,0.294986775691963
0.08,0.6,92.0,0.3,0.8538932758947714,0.566691260542633,1.112506712198225,0.27633864386107576
0.08,0.6,92.0,0.4,1.019320147814222,0.6695073845806021,1.0263328314543256,0.2553658113747129
0.08,0.6,92.0,0.5,1.1227791316423572,0.7329883169231202,0.9773910086995905,0.24111586149663158
0.08,0.6,92.0,0.6,1.1897978690528097,0.7735087374075937,0.9640213874992122,0.23370305217106907
0.08,0.6,92.0,0.7,1.2274586476183658,0.7951158318156076,0.9811888366502981,0.23267287753369914
0.08,0.6,92.0,0.8,1.2455726641903075,0.8041117681147245,1.013399910317724,0.23577732975246316
0.08,1.8,52.0,0.1,0.642347373462577,0.4348291320935706,0.26265209871259376,0.06469965940115784
0.08,1.8,52.0,0.2,0.33351207967835605,0.21480072517748314,0.30651602248623444,0.07671285942768713
0.08,1.8,52.0,0.3,0.12984229348481302,0.09403660442527172,0.3734509469116625,0.09086325000369463
0.08,1.8,52.0,0.4,0.32758076797677627,0.22759776580826788,0.5100946180506806,0.11712650708850772
0.08,1.8,52.0,0.5,0.4742139170276999,0.3200039265581697,0.6765627369494636,0.15079718964170696
0.08,1.8,52.0,0.6,0.5248813174282762,0.34815930660651767,0.8513109901753265,0.1872214272748622
0.08,1.8,52.0,0.7,0.49383155181447047,0.32337094032069735,1.0225332169440193,0.22350186845687336
0.08,1.8,52.0,0.8,0.47809802853491523,0.310620301553579,1.179575775873452,0.2576452203500223
0.08,1.8,62.0,0.1,0.626806913529033,0.4242851802481433,0.21961586958470672,0.05056044788233961
0.08,1.8,62.0,0.2,0.3196720789315513,0.2058851132444142,0.21293835670149855,0.051719919198831496
0.08,1.8,62.0,0.3,0.13216577267471155,0.09671515679019141,0.21467154884185038,0.0531754650567042
0.08,1.8,62.0,0.4,0.3559685774424355,0.2466986854866852,0.3181525173218638,0.07258437560301341
0.08,1.8,62.0,0.5,0.5406288934488619,0.3652440909338448,0.4686647624904111,0.10294972920223094
0.08,1.8,62.0,0.6,0.6634712970729544,0.4426261055975563,0.6425114136502283,0.1391281444483365
0.08,1.8,62.0,0.7,0.7230595335726157,0.47766402026512883,0.8151962818162707,0.1756675633971908
0.08,1.8,62.0,0.8,0.7384612293644746,0.48349056033793897,0.9701866108876548,0.20930866818670996
0.08,1.8,72.0,0.1,0.6160120530172843,0.4168885692661575,0.23987443686836443,0.05104940631187672
0.08,1.8,72.0,0.2,0.2920362465446576,0.18758018916279542,0.19613471278763422,0.0426066975787317
0.08,1.8,72.0,0.3,0.1614961539257293,0.11915774667799517,0.10062418118744433,0.0241760304213567
0.08,1.8,72.0,0.4,0.4254443566502489,0.29342740283158186,0.1630611406991853,0.035729988127513525
0.08,1.8,72.0,0.5,0.6336165762734688,0.42782585247034466,0.3106206380324881,0.06611400456333302
0.08,1.8,72.0,0.6,0.7809844908289021,0.5218393441577667,0.47845859072253033,0.10153993706209985
0.08,1.8,72.0,0.7,0.8822708585146525,0.5853459213937071,0.6432971934114419,0.13659942869113997
0.08,1.8,72.0,0.8,0.9524043098801378,0.628320455660935,0.7946035178482038,0.16941009420238617
0.08,1.8,82.0,0.1,0.6152534054608807,0.4163101850252668,0.23808560240572618,0.05068933049982282
0.08,1.8,82.0,0.2,0.2791900392864919,0.1790030152278646,0.18906890683008992,0.04121933921852863
0.08,1.8,82.0,0.3,0.1760439142943726,0.1294269740791604,0.09739410699862164,0.023606784593933127
0.08,1.8,82.0,0.4,0.4353104198095865,0.29957215714484114,0.17853375405389152,0.03891955717303137
0.08,1.8,82.0,0.5,0.6339627010093543,0.42736380846188565,0.324997258260811,0.06929681159593323
0.08,1.8,82.0,0.6,0.7736220322869288,0.5160927599789701,0.4797775798966807,0.10219238726799099
0.08,1.8,82.0,0.7,0.8658341494452049,0.5733770158179459,0.6256463082741607,0.13351669811622563
0.08,1.8,82.0,0.8,0.9309925565991094,0.6130058562052646,0.7596403469925006,0.16283515834304055
0.08,1.8,92.0,0.1,0.618727226592091,0.4187416519960715,0.2572856589992757,0.05467157182232479
0.08,1.8,92.0,0.2,0.3082732887534811,0.1983953071843233,0.20614080390875378,0.044486631056452404
0.08,1.8,92.0,0.3,0.1396616770646306,0.10281361898710167,0.09727635633726925,0.022789572524280044
0.08,1.8,92.0,0.4,0.38502702476857026,0.2662952900228812,0.1415915552953083,0.03065154979777708
0.08,1.8,92.0,0.5,0.5888419674609807,0.39794286972463605,0.28015653943640584,0.059342668253142904
0.08,1.8,92.0,0.6,0.7349061219613812,0.4912265023766536,0.43372770486281925,0.09194207633566752
0.08,1.8,92.0,0.7,0.8342473656620947,0.5535033314486979,0.5763448271363086,0.12253169753502668
0.08,1.8,92.0,0.8,0.9052682034224182,0.5971989307951964,0.7066879885357676,0.15104753952324243
0.08,2.7,52.0,0.1,0.7443721767926351,0.5046494448440624,0.6014039270415934,0.14794291544227753
0.08,2.7,52.0,0.2,0.5552601401350414,0.3624035056245372,0.7088654482472426,0.1751356969510847
0.08,2.7,52.0,0.3,0.29303941545253037,0.18007788550762358,0.7858299037965137,0.1929374029344858
0.08,2.7,52.0,0.4,0.11959350482304447,0.08430656655605687,0.8567956076722429,0.20669213265163627
0.08,2.7,52.0,0.5,0.22356147533064735,0.1577605802002924,0.9566590944104081,0.22592661796382674
0.08,2.7,52.0,0.6,0.28979280970276683,0.19739633479802368,1.0807970560286155,0.2502421939298669
0.08,2.7,52.0,0.7,0.288104422575309,0.1928250631631179,1.2142574251202642,0.27692363460777353
0.08,2.7,52.0,0.8,0.3060041882105604,0.20243690375082624,1.3372493165864892,0.30249478251962886
0.08,2.7,62.0,0.1,0.7196068071609651,0.4878339657430516,0.4437951664544857,0.10998412898933223
0.08,2.7,62.0,0.2,0.5328570162835885,0.34800377928140164,0.5327848198245614,0.1324243785220803
0.08,2.7,62.0,0.3,0.26728262094392724,0.16417562996902563,0.5916734411717579,0.14630468541417385
0.08,2.7,62.0,0.4,0.13134874950186684,0.09665729540003751,0.6451509364917356,0.1567730712573227
0.08,2.7,62.0,0.5,0.2954954682768341,0.2070076221591706,0.729039788608088,0.17286607861110043
0.08,2.7,62.0,0.6,0.43155304755137763,0.2938915897271087,0.8427680142142742,0.19501230069645198
0.08,2.7,62.0,0.7,0.5112234731540044,0.3428259293304628,0.9709643689895389,0.22051973151192816
0.08,2.7,62.0,0.8,0.5544195859736806,0.3677055308514691,1.0965551445681319,0.24639096200180763
0.08,2.7,72.0,0.1,0.6999545419741022,0.47432162123088784,0.345361358674432,0.08582455585633181
0.08,2.7,72.0,0.2,0.4866883147505804,0.317118051454817,0.42147131021391404,0.10508130569900494
0.08,2.7,72.0,0.3,0.20948120631262854,0.12796471274095667,0.45975884137550904,0.11476163792741632
0.08,2.7,72.0,0.4,0.18193842398798205,0.13315331032358152,0.4938277355791751,0.1213991232133636
0.08,2.7,72.0,0.5,0.39073212384576633,0.27045332649651893,0.5582102153484098,0.13341649512589782
0.08,2.7,72.0,0.6,0.5581535793321284,0.37858707923486906,0.6581811176366508,0.152439420651372
0.08,2.7,72.0,0.7,0.6798808402562314,0.4561901260341491,0.7746058587478338,0.17531213164315423
0.08,2.7,72.0,0.8,0.7708827848341294,0.5134692262271273,0.8945575031299696,0.19977161973034502
0.08,2.7,82.0,0.1,0.700215683476155,0.4744398559591614,0.3244867373638365,0.08058086069708802
0.08,2.7,82.0,0.2,0.47795485327023507,0.3111278965832272,0.3920576507393837,0.09781333393772892
0.08,2.7,82.0,0.3,0.19907659209715864,0.12155681845887308,0.4265325914791968,0.10651174776908431
0.08,2.7,82.0,0.4,0.18991424509394395,0.13834955882686553,0.46219591414556,0.11332601920446665
0.08,2.7,82.0,0.5,0.39524922204623025,0.27302643766683693,0.5325021699829989,0.12649430620118432
0.08,2.7,82.0,0.6,0.5564876089681015,0.3768962289460748,0.630852272863523,0.1454935082038135
0.08,2.7,82.0,0.7,0.6690035303225905,0.4481574942098911,0.7414415649691505,0.16752628702525368
0.08,2.7,82.0,0.8,0.7521845653637661,0.5000988695382499,0.8479603010834876,0.18957244877430368
0.08,2.7,92.0,0.1,0.7123407201787313,0.4827301828919511,0.2851540665759668,0.07073837483721528
0.08,2.7,92.0,0.2,0.5096187531022914,0.3323257778526058,0.3539418044674675,0.08827417070590311
0.08,2.7,92.0,0.3,0.2436032718521097,0.14903818945639982,0.39196920236893534,0.0979031493056769
