h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu
0.08,1.8,52.0,0.1,0.18890717343295116,0.14958650131334025,0.3330398326820751,0.0835241688158835
0.08,1.8,52.0,0.2,0.12871136784848006,0.11181957043134606,0.37724573280945883,0.09446978628059342
0.08,1.8,52.0,0.3,0.35290326266987093,0.29449538328488645,0.49186973593112654,0.12265507021672839
0.08,1.8,52.0,0.4,0.48861009913279363,0.40271336283285775,0.6729997771478877,0.16731630258795044
0.08,1.8,52.0,0.5,0.5500861902321146,0.4490473345325015,0.8721650983190803,0.21654245812992234
0.08,1.8,52.0,0.6,0.542973332820564,0.4384183528434399,1.080638141777654,0.2681445881741773
0.08,1.8,62.0,0.1,0.17928627920224646,0.14202266754832005,0.20377008970703103,0.05127399547653717
0.08,1.8,62.0,0.2,0.13275744930306457,0.11490734901155701,0.2305716915077464,0.05786759986134534
0.08,1.8,62.0,0.3,0.35861788137570094,0.2990541978196619,0.33770121506661915,0.08416725730251298
0.08,1.8,62.0,0.4,0.5076942105095482,0.4187786262910297,0.5026027053346729,0.12484590964035673
0.08,1.8,62.0,0.5,0.5986736430216936,0.4902897707604581,0.6834763618548396,0.16960078404638843
0.08,1.8,62.0,0.6,0.6477353937282853,0.5273902131678069,0.87765216064107,0.21771934384559175
0.08,1.8,72.0,0.1,0.17223979866799183,0.13640861642680857,0.07217928219095038,0.01829727137350136
0.08,1.8,72.0,0.2,0.15003407733665444,0.1291725173046998,0.10322198525712464,0.0259665833428806
0.08,1.8,72.0,0.3,0.3901959374282966,0.32515338314452813,0.20980486085309025,0.052216405319578114
0.08,1.8,72.0,0.4,0.5541596567401468,0.45733071211086224,0.3665620899154701,0.09096526496998036
0.08,1.8,72.0,0.5,0.6611256328383918,0.542272884431965,0.5342798295377444,0.1324891215775979
0.08,1.8,72.0,0.6,0.7279343834903869,0.5942989804441551,0.7154076132959801,0.17737462550579575
0.08,1.8,82.0,0.1,0.1714334267980114,0.13570711709934652,0.0743344203443163,0.018840326082268034
0.08,1.8,82.0,0.2,0.16022199367573198,0.13768635968040324,0.10930580272476273,0.027471865514699937
0.08,1.8,82.0,0.3,0.40274738630420254,0.3354230654632729,0.22445096694139105,0.05584498523311083
0.08,1.8,82.0,0.4,0.5580486682878436,0.4600503094375882,0.3856661181692649,0.09569781971995227
0.08,1.8,82.0,0.5,0.6565654832597636,0.5377720461181609,0.5543057485575846,0.13744680832344577
0.08,1.8,82.0,0.6,0.7171446748474293,0.5846025136171671,0.727340217991395,0.18033484172695902
0.08,1.8,92.0,0.1,0.173995608390147,0.13780751422844478,0.05491092972454122,0.01389727571307716
0.08,1.8,92.0,0.2,0.13818418809686908,0.11926068441187906,0.08371289968319272,0.021009991171385634
0.08,1.8,92.0,0.3,0.3679462107870176,0.3066841901919515,0.19408762447253697,0.048251981368208595
0.08,1.8,92.0,0.4,0.5273737907201721,0.4352446702614529,0.34873779941677224,0.08650942039946499
0.08,1.8,92.0,0.5,0.6328300922816964,0.5190717138574783,0.5092527005095175,0.12627089814002374
0.08,1.8,92.0,0.6,0.6998615716813471,0.5714056866156069,0.6779532123670263,0.16809299413434264
0.08,2.4,52.0,0.1,0.2443246872583332,0.19345235721781553,0.6119907627017658,0.15317609903263635
0.08,2.4,52.0,0.2,0.07260196171126063,0.0636326387162786,0.6429698788302755,0.16094333074528197
0.08,2.4,52.0,0.3,0.23801654409801412,0.20069138199933664,0.704619405650772,0.1760959611759086
0.08,2.4,52.0,0.4,0.39167919231885057,0.3250476310386262,0.8222490083892622,0.20498755091889517
0.08,2.4,52.0,0.5,0.4683657195357188,0.3846759909000047,0.9734628837645716,0.24226956168063202
0.08,2.4,52.0,0.6,0.47002029583121996,0.3814036367226447,1.1478393472339716,0.2853389899766212
0.08,2.4,62.0,0.1,0.2274953307018011,0.18009503600468754,0.45277301542811,0.1134172030679512
0.08,2.4,62.0,0.2,0.07296658308421007,0.06441577923877657,0.4795130618342193,0.1201265029743454
0.08,2.4,62.0,0.3,0.24341821794487906,0.2047345030912604,0.5356111449620771,0.13389249450079058
0.08,2.4,62.0,0.4,0.41205828559332786,0.342069190141648,0.6403526766902765,0.1596187491993827
0.08,2.4,62.0,0.5,0.5260064221599542,0.43355435193180736,0.7749453867845171,0.19284507019092828
