h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu
0.08,3.0,52.0,0.6,0.11706608967536271,0.08571855449580863,0.5116836680736699,0.06848227606346134
0.08,3.0,52.0,0.7,0.10353940107684655,0.07612919740509418,0.5581346263004079,0.06604304238259713
0.08,3.0,52.0,0.8,0.10708061693898491,0.07878206703315521,0.7666296240490531,0.08151258429340415
0.08,3.0,52.0,0.9,0.14020861965938963,0.09700772271358576,0.9790300675825321,0.10195100850022777
0.08,3.0,62.0,0.6,0.2230257228579801,0.16389504042921754,0.8502015150033428,0.11075978144471192
0.08,3.0,62.0,0.7,0.2643203523975611,0.18909290964348863,0.6590851129283938,0.09050912064852377
0.08,3.0,62.0,0.8,0.2802694627042051,0.19669099978460491,0.6291534457054423,0.08191786806909959
0.08,3.0,62.0,0.9,0.2905779520431955,0.2011532411793952,0.7479354370507467,0.0865980499221355
0.08,3.0,72.0,0.6,0.31465773858063584,0.22974893328420876,1.2066220678865343,0.1542658028642297
0.08,3.0,72.0,0.7,0.3906591298921934,0.280085331331468,0.9647794748141959,0.13128903823329263
0.08,3.0,72.0,0.8,0.4445303212487924,0.314884796237003,0.7939178500480382,0.11299874441086799
0.08,3.0,72.0,0.9,0.47468639508194826,0.3329022449426103,0.7341702872797573,0.10206654016960087
0.08,3.0,82.0,0.6,0.3128159597809216,0.22775448637592596,1.2301316874549284,0.15844401880804596
0.08,3.0,82.0,0.7,0.38085276727661177,0.2722556087369028,0.9899959540635659,0.13516639389923152
0.08,3.0,82.0,0.8,0.4267781829029721,0.3012974185348315,0.8038604228356505,0.1155376429489471
0.08,3.0,82.0,0.9,0.4511973417025166,0.31528427424375016,0.6948452118471018,0.10087993708368706
0.08,3.0,92.0,0.6,0.28855466040943034,0.2118368920256593,1.3100958119698938,0.16533068042103868
0.08,3.0,92.0,0.7,0.3615656569338612,0.25993676329004667,1.0676099752709487,0.14213057340861932
0.08,3.0,92.0,0.8,0.4140042548259412,0.29368509102090457,0.8689647131233675,0.12200106938224041
0.08,3.0,92.0,0.9,0.4426362203015129,0.31061272717859184,0.730684824821858,0.10591059793618633
0.08,3.3,52.0,0.6,0.09327977704646541,0.06867274208373317,0.4493980205423881,0.05934353159957548
0.08,3.3,52.0,0.7,0.08524029949721987,0.06341684136509745,0.5248957668454941,0.06005033947073932
0.08,3.3,52.0,0.8,0.09209891731876488,0.06814608102201039,0.7488976896880206,0.07837858237264979
0.08,3.3,52.0,0.9,0.12905606793991545,0.08992381548989646,0.9681227315787245,0.10052538269411292
0.08,3.3,62.0,0.6,0.19129110672754338,0.14221240426785758,0.7857228136726482,0.10024510912897017
0.08,3.3,62.0,0.7,0.2361896681383087,0.17029332253981516,0.5981869561932976,0.08054607662535679
0.08,3.3,62.0,0.8,0.25813373420060065,0.18227339729115424,0.5793842707355359,0.07329856501171299
0.08,3.3,62.0,0.9,0.2745441678578018,0.1910979118747922,0.7115237855928653,0.08002761380893873
0.08,3.3,72.0,0.6,0.28209506002154666,0.20773993667094864,1.1482289596038675,0.14388117503960582
0.08,3.3,72.0,0.7,0.3615100903682524,0.2606462058573652,0.909451577881675,0.12134001970054827
0.08,3.3,72.0,0.8,0.41977363557285685,0.29864037256971704,0.7415092023509221,0.10365203807216591
0.08,3.3,72.0,0.9,0.4544485215694499,0.3199037287534403,0.6837292684231152,0.09331364821783684
0.08,3.3,82.0,0.6,0.28183236179305077,0.20691070232222053,1.1809223628282293,0.1494559484672183
0.08,3.3,82.0,0.7,0.3536500601207374,0.25422508472637884,0.9447726618759357,0.12679248782894167
0.08,3.3,82.0,0.8,0.402939950952112,0.2856628866539321,0.7603862351414665,0.10760917249716313
0.08,3.3,82.0,0.9,0.43037679624723113,0.30175864819293485,0.6539210615927442,0.09349969370644683
0.08,3.3,92.0,0.6,0.2578510243305428,0.19110912944490516,1.2580469720725567,0.1557632227431415
0.08,3.3,92.0,0.7,0.3335259409525341,0.24123114440709575,1.021343562243124,0.13334022006098448
0.08,3.3,92.0,0.8,0.3893724421609736,0.2774355869191347,0.8263132654280521,0.11393500903076283
0.08,3.3,92.0,0.9,0.42130009084687353,0.2966992503045537,0.6878381786721003,0.09812636806681117
0.08,3.6,52.0,0.6,0.07949641135614087,0.057308405215731065,0.402890519653146,0.05282987110592571
