h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu
0.08,1.2,52.0,1.0,0.49208641254504715,0.27227002394309946,1.5125866585868197,0.19055488936092954
0.08,1.2,57.0,1.0,0.5537221512232013,0.304953649741943,1.463719339551532,0.19846544380048378
0.08,1.2,62.0,1.0,0.6883342549496488,0.38129161867460465,1.4362123089718613,0.21174404873698438
0.08,1.2,67.0,1.0,0.8585566922428418,0.479578343308262,1.4642416048100384,0.23034262539856665
0.08,1.2,72.0,1.0,0.9772813852125676,0.5487569555075276,1.4846271278610215,0.2423406367686006
0.08,1.8,52.0,1.0,0.3163857671026713,0.1867425346811889,1.3266988517239675,0.1388666898503519
0.08,1.8,57.0,1.0,0.34246415935874425,0.20185812824571672,1.2330647539450055,0.14181389806031064
0.08,1.8,62.0,1.0,0.5034262116539542,0.29564757396128943,1.180764654864315,0.15102971774003246
0.08,1.8,67.0,1.0,0.6870724472730648,0.402716434510765,1.1826581222888708,0.1660856765446375
0.08,1.8,72.0,1.0,0.7988417051130258,0.46806404369739235,1.2040937452231926,0.17905179959165063
0.08,1.5,52.0,1.0,0.4051335890457861,0.2321786000823355,1.4061011321838282,0.15899151614726642
0.08,1.5,57.0,1.0,0.47511838705590825,0.2701303751217221,1.3351201110195157,0.1651719522137762
0.08,1.5,62.0,1.0,0.5989543952489285,0.34089918120791957,1.3009770453973246,0.1776640425212319
0.08,1.5,67.0,1.0,0.7683726487900564,0.43909640002993117,1.3082482302690472,0.1935329383675353
0.08,1.5,72.0,1.0,0.8934506453806448,0.5118494003484093,1.339982856199688,0.2077244066800372
0.09,1.2,52.0,1.0,0.5799008789598548,0.3178042242577178,1.6357290370093,0.23363754457420335
0.09,1.2,57.0,1.0,0.6432525529986229,0.3523870921613069,1.6070719642381222,0.24168193924835865
0.09,1.2,62.0,1.0,0.769140246528235,0.42453027931791715,1.603235253936543,0.2547174261540092
0.09,1.2,67.0,1.0,0.9213970766311218,0.5130451302655551,1.6566938516524272,0.27405623656954625
0.09,1.2,72.0,1.0,1.0255029490091063,0.5739068722277471,1.6966525221742141,0.2867671447889342
0.09,1.8,52.0,1.0,0.3002073698222223,0.17657733795523714,1.3208780317533058,0.15870743489222477
0.09,1.8,57.0,1.0,0.3243545831357391,0.1921477948808036,1.278453113246767,0.1686423499503155
0.09,1.8,62.0,1.0,0.4667204241843775,0.2765495947601619,1.272841615994144,0.18165689104730584
0.09,1.8,67.0,1.0,0.6294197443482455,0.37237574954130953,1.3200674060855175,0.19956588980223844
0.09,1.8,72.0,1.0,0.7279931809884698,0.4304008908851482,1.372681538466155,0.21371925075081524
0.09,1.5,52.0,1.0,0.5067569565670506,0.28686294867483675,1.4619105920022022,0.1898253652756823
0.09,1.5,57.0,1.0,0.5787544479788153,0.3268829544376092,1.4346227267761964,0.20134760145691774
0.09,1.5,62.0,1.0,0.6940636293482386,0.3936414531649991,1.4330399048827553,0.21516749670007826
0.09,1.5,67.0,1.0,0.8446413286590022,0.48175418673983333,1.4754130363994,0.23278575265612972
0.09,1.5,72.0,1.0,0.9535329998094848,0.5454528944985934,1.5217641688541437,0.24632745281041468
