h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu
0.08,0.3,52.0,0.3,1.0366587918812467,0.6286204021570299,3.876469754693127,0.6477435409390836
0.08,0.3,52.0,0.4,1.1084612462521568,0.6532922130456705,3.1981497005650494,0.5681017606093739
0.08,0.3,52.0,0.5,1.1828524415633195,0.6648446685328397,2.790918942898515,0.5343028126802215
0.08,0.3,52.0,0.6,1.1536978443636994,0.6328286286317013,2.4265909675810065,0.4843131712126944
0.08,0.3,52.0,0.7,1.0522940920999777,0.5614343879921505,2.189780534510933,0.44522635903100694
0.08,0.3,62.0,0.3,1.0240558646447564,0.6219856772434778,4.042689974383705,0.6673505681479562
0.08,0.3,62.0,0.4,1.1112924569959726,0.6569145462890711,3.382452961546652,0.5890368985699543
0.08,0.3,62.0,0.5,1.2197606551854376,0.6910056886366971,2.9692304134512013,0.5555224095382971
0.08,0.3,62.0,0.6,1.255337373066347,0.701104256283563,2.574212387142306,0.5039865787223613
0.08,0.3,62.0,0.7,1.2449826835408426,0.6846061570844345,2.2896830693933103,0.4624182932045358
0.08,0.3,72.0,0.3,1.0489013699005068,0.6374162829998157,4.254288256526531,0.698594984981995
0.08,0.3,72.0,0.4,1.1501611500830509,0.6817425209100316,3.603734358773694,0.6204480495187327
0.08,0.3,72.0,0.5,1.2836414664613698,0.7316147923864382,3.1950601297023455,0.5878699004933126
0.08,0.3,72.0,0.6,1.344884175575581,0.7589435843288069,2.7853907006331835,0.5352231048970082
0.08,0.3,72.0,0.7,1.3708551551981063,0.7664971175638609,2.4624429560711496,0.49133657674080994
0.08,0.3,82.0,0.3,1.050035182984762,0.6380231023347189,4.1744532067627835,0.6888340834925974
0.08,0.3,82.0,0.4,1.1478571748439905,0.6801992669645076,3.5225435755444074,0.6104513089412289
0.08,0.3,82.0,0.5,1.2666724087666528,0.7201174959643349,3.122592140727103,0.5780116560992572
0.08,0.3,82.0,0.6,1.3159707655140416,0.7394165875144323,2.7236000945300503,0.5258783007313637
0.08,0.3,82.0,0.7,1.3369792691064035,0.7438172095783786,2.404903400961838,0.48229117721117826
0.08,0.3,92.0,0.3,1.0239142545388233,0.6200963196783098,4.247887355491202,0.6971399925848265
0.08,0.3,92.0,0.4,1.1197345809018016,0.6615124086944723,3.597078269821895,0.6191098183222891
0.08,0.3,92.0,0.5,1.2408441013386737,0.7036978967670893,3.19543970678083,0.5868106582416974
0.08,0.3,92.0,0.6,1.2911138133926823,0.723991629754595,2.793930302210481,0.5346501256576597
0.08,0.3,92.0,0.7,1.316048791820053,0.7313718689345147,2.4691524289530244,0.4907683952705839
0.08,0.6,52.0,0.3,0.6537014063016192,0.4242445157364749,3.1765505032941688,0.4793426729666309
0.08,0.6,52.0,0.4,0.8016568323185937,0.4974932225931535,2.599565976445464,0.4213431730648622
0.08,0.6,52.0,0.5,0.8902064066166133,0.5287715597797762,2.189718934652922,0.3833330008224005
0.08,0.6,52.0,0.6,0.8924784364677574,0.5142246061381264,1.8727806430175395,0.3449193023477829
0.08,0.6,52.0,0.7,0.8059890730406916,0.45086850999382083,1.6843622133873195,0.3159136164743387
0.08,0.6,62.0,0.3,0.6487142883843847,0.4214251250459633,3.3987300387127,0.5061283074200202
0.08,0.6,62.0,0.4,0.8119079551010943,0.5048936155140153,2.844362493034673,0.4502469120095748
0.08,0.6,62.0,0.5,0.9419211119655062,0.5628784928579299,2.430466276898834,0.41301673826370844
0.08,0.6,62.0,0.6,1.017344492054815,0.5949664346054334,2.0763918371706476,0.37283870356844906
0.08,0.6,62.0,0.7,1.033837400145685,0.592343204544783,1.8249655261239974,0.34050896316698387
0.08,0.6,72.0,0.3,0.6823315305879629,0.4420957622387328,3.631850984576593,0.5410349852476143
0.08,0.6,72.0,0.4,0.8630984959399943,0.5369716633475617,3.0924006424629447,0.4857663553991083
0.08,0.6,72.0,0.5,1.0209737881462027,0.6117325575708734,2.688240090080302,0.45015488272135
0.08,0.6,72.0,0.6,1.1230157874498072,0.6610728567220258,2.320389550209416,0.4089577869741732
0.08,0.6,72.0,0.7,1.1816270816201517,0.6856563148866488,2.024572075073966,0.37392681245677356
0.08,0.6,82.0,0.3,0.6841598477925295,0.4440594973609283,3.545487472539769,0.5296771844203474
0.08,0.6,82.0,0.4,0.8627208946530256,0.5372747775256987,3.0008474727079597,0.4739130820557582
0.08,0.6,82.0,0.5,1.0040896096008722,0.6011254529783173,2.605610915931889,0.4383972722708183
0.08,0.6,82.0,0.6,1.0942139938654671,0.6425472981802133,2.2503369210620594,0.39783834982030775
0.08,0.6,82.0,0.7,1.1478007808933282,0.6639094562369166,1.958779394417784,0.36308152976188834
0.08,0.6,92.0,0.3,0.6492162843833826,0.42081164055618897,3.649511015875648,0.5440460218885735
0.08,0.6,92.0,0.4,0.8255504488001317,0.5133371332203335,3.1062686267276938,0.48843653573306706
0.08,0.6,92.0,0.5,0.9712602342663926,0.5812035162633301,2.709017233702665,0.4530936288155154
0.08,0.6,92.0,0.6,1.0640905731027361,0.6247316394833942,2.349761380995975,0.41236206206789683
0.08,0.6,92.0,0.7,1.1226860678552775,0.6496659613498759,2.0514324041703373,0.3772753329686273
0.08,1.2,52.0,0.3,0.29516581995030344,0.19427234473014995,2.409294570362129,0.3203933169422742
0.08,1.2,52.0,0.4,0.40607357109916326,0.27848205023440914,1.9231632745699037,0.27488933825514894
0.08,1.2,52.0,0.5,0.5028573588260645,0.32801243906354893,1.5361960486454203,0.23722677966424371
0.08,1.2,52.0,0.6,0.5257978192953277,0.3300305401667197,1.2612133232782796,0.20628168571661407
0.08,1.2,52.0,0.7,0.4645588402924323,0.28372674458759983,1.1360401334364223,0.18537543002957566
0.08,1.2,62.0,0.3,0.295715898637979,0.19538632366518938,2.7038314044539855,0.3579151789667282
0.08,1.2,62.0,0.4,0.42426670734840266,0.2912153201689381,2.249968564956175,0.31593682232598536
0.08,1.2,62.0,0.5,0.566090401190284,0.37033128855292635,1.8673813163371924,0.2799174069429619
0.08,1.2,62.0,0.6,0.6715828775460106,0.42386267267719524,1.5463872445823557,0.2468150356456849
0.08,1.2,62.0,0.7,0.715801340543061,0.43850354880967013,1.323985843255458,0.22045319039499345
0.08,1.2,72.0,0.3,0.30690833921523486,0.20968300035159354,2.9765749564778887,0.39632242634156944
0.08,1.2,72.0,0.4,0.4837704632266663,0.3302367504981116,2.5428415093110543,0.35615352244154247
0.08,1.2,72.0,0.5,0.6551780099377302,0.42653517589235573,2.1732828776891475,0.32216039318219664
0.08,1.2,72.0,0.6,0.7945622938976422,0.5001910228836098,1.8414495342152388,0.2885708107466649
0.08,1.2,72.0,0.7,0.8863471112885593,0.5444067111747645,1.5688638341254943,0.25938520051877684
0.08,1.2,82.0,0.3,0.31485041646944123,0.21726725180005702,2.904676848056598,0.3880656949295344
0.08,1.2,82.0,0.4,0.49088599616721457,0.33449931956057305,2.4612944479691503,0.3465421388086657
0.08,1.2,82.0,0.5,0.6494936160117003,0.4219971571796356,2.096156370065957,0.3122951748961255
0.08,1.2,82.0,0.6,0.7763833524624268,0.48758012914653814,1.7770752455598926,0.2792238417633949
0.08,1.2,82.0,0.7,0.8605420549648941,0.5270348477541215,1.5104489255161166,0.25030094141273906
0.08,1.2,92.0,0.3,0.29265312385688064,0.19477292299814863,3.0024730465423723,0.40103498228523915
0.08,1.2,92.0,0.4,0.446870371991624,0.3066293564123014,2.569326817260812,0.36048081786939185
0.08,1.2,92.0,0.5,0.6065180023401994,0.3965935072470134,2.2066839401763017,0.32702512542400186
0.08,1.2,92.0,0.6,0.738461155678858,0.4664280411581916,1.8870411863762513,0.2941415438528304
0.08,1.2,92.0,0.7,0.827905272398736,0.5097127707913784,1.614048711607837,0.26494121091177614
0.08,1.8,52.0,0.3,0.43949169179746717,0.2235567819585877,1.9075208525136718,0.2336752164950534
0.08,1.8,52.0,0.4,0.27981161718847863,0.175478818625597,1.5007230963916856,0.19586749683069518
0.08,1.8,52.0,0.5,0.34344010227396166,0.21843825841819825,1.1420546191294882,0.16147608482605422
0.08,1.8,52.0,0.6,0.33385140624501103,0.21600329729348156,0.8959618041609747,0.13496020491172203
0.08,1.8,52.0,0.7,0.2857411389979415,0.18157305801874268,0.8365221965599274,0.12119820533216648
0.08,1.8,62.0,0.3,0.42336769882608405,0.215979608079609,2.22798386838214,0.27445224861671946
0.08,1.8,62.0,0.4,0.2805858604268051,0.18355457543153955,1.864580706518973,0.2409636330958671
0.08,1.8,62.0,0.5,0.38023839041258256,0.25472844888281987,1.5165656433121477,0.20785702060170924
0.08,1.8,62.0,0.6,0.45807469449494187,0.30670531203353046,1.2134273741972694,0.1777869684231036
0.08,1.8,62.0,0.7,0.5048168070527846,0.3280213005595565,1.0084641078122394,0.15439874816268337
0.08,1.8,72.0,0.3,0.38715358481527407,0.2017774976984555,2.52112133730665,0.31318535007066206
0.08,1.8,72.0,0.4,0.3051660810023315,0.21209181708019267,2.1799896727440693,0.28186849459112967
0.08,1.8,72.0,0.5,0.45156321934254684,0.3090890740654014,1.8451227601324345,0.2504002301043254
0.08,1.8,72.0,0.6,0.579399789555642,0.38549987906398303,1.5352308905903398,0.22030752249448515
0.08,1.8,72.0,0.7,0.6835151895850313,0.4405033613836347,1.2750736606412851,0.19374459024620427
0.08,1.8,82.0,0.3,0.3756427443065521,0.19800069882456184,2.487111649181096,0.3098467943636092
0.08,1.8,82.0,0.4,0.30832199724400966,0.2145690839412296,2.1372571756630676,0.2775452203603461
0.08,1.8,82.0,0.5,0.4492685666521093,0.30631953674355444,1.804919107106077,0.24596775457389042
0.08,1.8,82.0,0.6,0.5692405331408499,0.37743543905454685,1.5050627383316246,0.21634277074375444
0.08,1.8,82.0,0.7,0.6629647093816227,0.4258438504505209,1.2500223587125054,0.18995694351365403
0.08,1.8,92.0,0.3,0.409051646984848,0.20972011743671667,2.562318656691551,0.3196082344808476
0.08,1.8,92.0,0.4,0.28785253860679044,0.19452306974808947,2.2286387149606384,0.2888553565386445
0.08,1.8,92.0,0.5,0.4156112659294629,0.2833152574891784,1.9059335399458874,0.25831585911795607
0.08,1.8,92.0,0.6,0.5319956176680967,0.3561281853096763,1.6064974591352508,0.22890250074217347
0.08,1.8,92.0,0.7,0.6303666262910853,0.40878240070718913,1.3448101537901742,0.20221299050959093
0.08,2.4,52.0,0.3,0.6445779420443408,0.3286808652908375,1.5773435846708372,0.18785288454710866
0.08,2.4,52.0,0.4,0.374913955274347,0.19439649715538473,1.2531356014871124,0.15874204980225942
0.08,2.4,52.0,0.5,0.38387982760423967,0.19817675948522076,0.9390634566233674,0.13335327233592328
0.08,2.4,52.0,0.6,0.3206588670833273,0.17480987585257785,0.7229131562506002,0.11294035795154943
0.08,2.4,52.0,0.7,0.28001039509564435,0.15261383369348813,0.7205369928615086,0.10703740315918146
0.08,2.4,62.0,0.3,0.6180520559514281,0.3148513520531321,1.8911660764811593,0.22384215051734901
0.08,2.4,62.0,0.4,0.34652198741577817,0.18493767592169813,1.6088730487225027,0.19777124110654998
0.08,2.4,62.0,0.5,0.3649798942755907,0.21399988298648256,1.3009942186340222,0.16994093743766306
0.08,2.4,62.0,0.6,0.364006005455368,0.239667172632181,1.0162796011523676,0.14290695216508642
0.08,2.4,62.0,0.7,0.3856097625045216,0.2558624805346309,0.8237057591598309,0.12251673038940898
0.08,2.4,72.0,0.3,0.5537871562856761,0.2801777901247051,2.1795128690037413,0.25802034340426955
0.08,2.4,72.0,0.4,0.3088730762301947,0.17798419505561475,1.9228472480289251,0.23480184458227518
0.08,2.4,72.0,0.5,0.37511849166295835,0.24367742097138217,1.6320616476677225,0.2083013427906185
0.08,2.4,72.0,0.6,0.45622614208239604,0.31144664908417563,1.3439723790850335,0.1813397740169823
0.08,2.4,72.0,0.7,0.5544996418501256,0.36950353862450064,1.0944830113570556,0.15711700359258207
0.08,2.4,82.0,0.3,0.5392925596110963,0.2723618597798889,2.1900285012647664,0.2608690152616129
0.08,2.4,82.0,0.4,0.3056784744683076,0.1790048197039277,1.9240193079683834,0.2366387901139629
0.08,2.4,82.0,0.5,0.3757179972823651,0.24361985197021693,1.6301392376588466,0.20948108458269354
0.08,2.4,82.0,0.6,0.448174970087739,0.30430228143727284,1.348184153753357,0.1825434200066705
0.08,2.4,82.0,0.7,0.5371236228014837,0.3565556051556255,1.100899742021594,0.158124563917806
0.08,2.4,92.0,0.3,0.5920420105708712,0.30045851826980907,2.2371340273010647,0.2669844567157118
0.08,2.4,92.0,0.4,0.3298236727597785,0.18123349533384295,1.992851272744997,0.2443298627900962
0.08,2.4,92.0,0.5,0.369450049391083,0.22966205311567997,1.7137119078666891,0.21815578026054797
0.08,2.4,92.0,0.6,0.4225228736199709,0.28739668615623865,1.4367600228539616,0.19157968271723183
0.08,2.4,92.0,0.7,0.5093589476332576,0.34160751596836264,1.1835020808714045,0.16677822253312038
0.08,3.0,52.0,0.3,0.8047820357818919,0.42065155990239456,1.3383004449562508,0.16403410652632874
0.08,3.0,52.0,0.4,0.5182868094620051,0.26254939359581275,1.087362050493552,0.1443527492635248
0.08,3.0,52.0,0.5,0.4935587736554347,0.23051408704949283,0.8370393641153469,0.13138576708852348
0.08,3.0,52.0,0.6,0.39487098229707485,0.18759484874922414,0.662360010567635,0.11867117116209021
0.08,3.0,52.0,0.7,0.3523201147008217,0.16666445920974296,0.704088573885574,0.11893030804114407
0.08,3.0,62.0,0.3,0.7693116594379427,0.401426230635965,1.6264566275459884,0.18993606170045735
0.08,3.0,62.0,0.4,0.4731124649135637,0.24015196419959986,1.4124662562957664,0.1713716473598358
0.08,3.0,62.0,0.5,0.43435880684574857,0.21360984754962914,1.155580296051268,0.1516960684796958
0.08,3.0,62.0,0.6,0.34673617888268127,0.19999472910288088,0.8980582835091862,0.12971437235662583
0.08,3.0,62.0,0.7,0.32751089812308654,0.2077923418227511,0.7231514756980044,0.11408187674029771
0.08,3.0,72.0,0.3,0.6968191096128853,0.3603288422901299,1.9183476539069735,0.22129033788272848
0.08,3.0,72.0,0.4,0.40490149241417756,0.20797948712724068,1.7245240039405463,0.2047691066916967
0.08,3.0,72.0,0.5,0.382826917535101,0.21019411896462098,1.4861838112262706,0.18502917238121522
0.08,3.0,72.0,0.6,0.3700779992471957,0.2461849990816094,1.2244294272670442,0.16188600722101232
0.08,3.0,72.0,0.7,0.4375430448032806,0.2992401905578587,0.9887096044334149,0.14083744666135284
0.08,3.0,82.0,0.3,0.6851133632009214,0.35329691598007495,1.9561764889494508,0.22736173512719965
0.08,3.0,82.0,0.4,0.39757432314593316,0.20465824498394208,1.7526290496695516,0.2096061241739457
0.08,3.0,82.0,0.5,0.38109824377392437,0.2100819545156077,1.5035871109233239,0.18827915452395055
0.08,3.0,82.0,0.6,0.3689321628522925,0.24453866837952645,1.2443750909583222,0.16454198876411674
0.08,3.0,82.0,0.7,0.42829648307772855,0.291566665679631,1.0089298090711922,0.1427678163222709
0.08,3.0,92.0,0.3,0.7414881447011863,0.38528629386961716,1.9719325844533742,0.2282451560676867
0.08,3.0,92.0,0.4,0.44199084987167225,0.22486258751787128,1.8021038830339704,0.21297491277416716
0.08,3.0,92.0,0.5,0.4040726513741676,0.2116619459352295,1.5701639755779249,0.1926024727714677
0.08,3.0,92.0,0.6,0.3602347921595148,0.23200058513090455,1.3198426790026798,0.1696002969050259
0.08,3.0,92.0,0.7,0.40572649181541837,0.2765621654164589,1.08085836058965,0.14760692815895338
0.08,3.6,52.0,0.3,0.8993368641407224,0.47827761098606736,1.176583123937677,0.15552943677026823
0.08,3.6,52.0,0.4,0.6235824823198174,0.321434779293604,0.9779898592378715,0.1419436094926558
0.08,3.6,52.0,0.5,0.589351542743076,0.27489833251560963,0.7948353737308134,0.13924616477610274
0.08,3.6,52.0,0.6,0.4731915755747338,0.21928633275111342,0.6632307017058078,0.13177107812618297
0.08,3.6,52.0,0.7,0.4219989810126211,0.19534379281317985,0.7302113044181991,0.13487400758607979
