h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative uu,RMSE uu
0.08,0.3,52.0,0.1,2.5021267323143324,2.1635104930458287,2.445034435638816,0.032954774757623186
0.08,0.3,52.0,0.2,3.758577985950144,3.0988555043129935,3.9310348396976553,0.052983453246440236
0.08,0.3,52.0,0.3,4.006211026513601,3.2140448707271356,3.5815816558255738,0.04827343738941208
0.08,0.3,52.0,0.4,4.085571256554259,3.2139572673737695,3.1359949668499696,0.042267710534955906
0.08,0.3,52.0,0.5,4.042689120829435,3.1298685474630807,3.137094032473984,0.04228252401142695
0.08,0.3,52.0,0.6,3.8547074494705855,2.9408575437426605,3.8054770372280093,0.05129115434089609
0.08,0.3,52.0,0.7,3.5121642805171707,2.599063526219346,5.075360910805006,0.0684069611418478
0.08,0.3,62.0,0.1,2.4527714609235236,2.122077710990988,2.2242049563685105,0.02997838078822914
0.08,0.3,62.0,0.2,3.735295142375714,3.081993754818191,2.7997251350692913,0.03773538313596744
0.08,0.3,62.0,0.3,3.98538767376528,3.1990703449540794,2.5783549905995655,0.034751701948198696
0.08,0.3,62.0,0.4,4.11027079971622,3.240205657865893,2.2927392697079307,0.03090210309919074
0.08,0.3,62.0,0.5,4.173065546332495,3.2519457274528305,2.132891334677149,0.028747633363457023
0.08,0.3,62.0,0.6,4.185008638088523,3.244141385003972,2.447325871677927,0.03298565929546025
0.08,0.3,62.0,0.7,4.119851429972347,3.1486949000369866,3.6764371508155973,0.04955192305258122
0.08,0.3,72.0,0.1,2.483961262984958,2.1487653131821944,3.3537811381064477,0.045203086051336806
0.08,0.3,72.0,0.2,3.7664726770462753,3.1073169224784536,2.4411872349964594,0.03290292124228277
0.08,0.3,72.0,0.3,4.0471361482030215,3.2515010731407594,1.9905159512313426,0.026828662970199185
0.08,0.3,72.0,0.4,4.215539172689277,3.331215718761758,1.7474763226402918,0.023552915152233633
0.08,0.3,72.0,0.5,4.34728336445001,3.4047561710263325,1.607205969449545,0.02166231687386396
0.08,0.3,72.0,0.6,4.436350911023125,3.4662553399385376,1.7069916518396167,0.02300725281393442
0.08,0.3,72.0,0.7,4.481815194893005,3.4698880530686167,2.633891984581805,0.03550024319601225
0.08,0.3,82.0,0.1,2.4790984656451154,2.143192744184454,3.2434256717644243,0.04371568796664534
0.08,0.3,82.0,0.2,3.765433646524065,3.1063409205210823,2.3575511908737137,0.03177565409401309
0.08,0.3,82.0,0.3,4.050945718516755,3.2549996825201086,1.9201341019465348,0.025880039115909848
0.08,0.3,82.0,0.4,4.209248873180354,3.3253172646816562,1.7014734442395003,0.022932877056326687
