h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative uu,RMSE uu,RMSE relative vv,RMSE vv,RMSE relative ww,RMSE ww
0.08,0.3,52.0,0.1,2.5021266031481506,2.1635103462529917,5.486053818055876,0.07394238087159624,7.951924216134901,0.026794491094537257,3.036921463800348,0.02619671899703277
0.08,0.3,52.0,0.2,3.758577879887645,3.098855367184714,5.064384867684694,0.0682590231860675,9.114344013700988,0.030711335127180384,2.928253898667401,0.025259344191061583
0.08,0.3,52.0,0.3,4.006210926237833,3.2140447368842398,5.1037557632389055,0.06878967378682242,8.733839435002503,0.029429201863802434,3.234504630388556,0.02790108664544012
0.08,0.3,52.0,0.4,4.085571156293216,3.213957133372607,5.325122614533255,0.07177331058179529,8.447429456298861,0.028464126063885986,3.510981464946446,0.030285997164343912
0.08,0.3,52.0,0.5,4.042689021469813,3.129868415043683,5.666729060827327,0.07637756617202207,8.01611457219546,0.027010784393752808,3.9406641505670965,0.03399247318200446
0.08,0.3,52.0,0.6,3.8547073533592013,2.9408574169667316,6.094654308385972,0.08214524776774629,7.428695481598088,0.025031440128897273,4.552297740641793,0.03926847174809267
0.08,0.3,52.0,0.7,3.512164195758582,2.59906341676756,6.699611953520375,0.090299015501575,6.977523850394631,0.023511189944689054,5.574493853798746,0.04808601433370899
0.08,0.3,52.0,0.8,3.1492970665091584,2.272080655695488,7.371968538199619,0.09936120269745205,6.943611709420468,0.023396920928205577,6.577557216910219,0.05673851634038499
0.08,0.3,52.0,0.9,3.151189194534673,2.2672086659710255,8.06611269393998,0.10871704812766245,7.224967261449901,0.02434496553078801,7.414983891307705,0.06396222348306427
0.08,0.3,52.0,1.0,3.2293747456314184,2.3164284961434007,8.666387931533603,0.11680770522254032,7.650879180029982,0.025780101580789028,8.069426330185753,0.06960749448377267
0.08,0.3,62.0,0.1,2.452771330887426,2.122077563969562,5.930197948667734,0.07992866455687442,6.78347270701191,0.022857322843855395,3.520123487978356,0.030364856960781207
0.08,0.3,62.0,0.2,3.7352950357932677,3.0819936174740383,5.503997951332051,0.07418423630741983,7.907660882454433,0.026645343106216475,3.4050762508517876,0.029372450611682466
0.08,0.3,62.0,0.3,3.9853875730973716,3.1990702110242717,5.449495083160665,0.07344963326294017,7.736270015130181,0.026067831180375103,3.5882924699126133,0.030952887861590485
0.08,0.3,62.0,0.4,4.110270698702171,3.240205522710088,5.519915944185161,0.07439878292495065,7.695858938344855,0.025931663605381367,3.681406064296925,0.03175609291511763
0.08,0.3,62.0,0.5,4.173065445392556,3.251945591362071,5.6783905822287775,0.07653474302183173,7.521485412761806,0.025344101431577223,3.8639942493862938,0.03333111269550365
