h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu,RMSE relative Iv,RMSE Iv,RMSE relative Iw,RMSE Iw
0.04,0.3,52.0,0.3,0.1901312813253973,0.14378446615611545,0.41556572130564795,0.09047096879316494,0.28472532867994693,0.03335034269176482,0.49964043017624277,0.08636729854736615
0.04,0.3,52.0,0.4,0.18258123118451602,0.13926971282146933,0.6945568136470707,0.15276026585798325,0.5004483430355648,0.060462101455726475,0.7565211748998678,0.13283378485935285
0.04,0.3,52.0,0.5,0.17217837990719864,0.13209449292769554,0.940909721516868,0.20606278850038814,0.7242451886373901,0.08907625531140746,0.987395966911177,0.17319826022209048
0.04,0.3,72.0,0.3,0.22718061643495208,0.1726709937955262,0.3396215736537677,0.07457141991778757,0.2547749897581939,0.030207380047840685,0.4499438140562174,0.07794246646715752
0.04,0.3,72.0,0.4,0.23799822838256612,0.1823838880770757,0.6035753109262997,0.13407765564747698,0.4491816941524692,0.05396825260258105,0.6919755748106999,0.12227794289414069
0.04,0.3,72.0,0.5,0.25033743574437334,0.19281671125818992,0.8360489388377561,0.18468557787916837,0.6592365966467383,0.08098643841595032,0.9072381153975311,0.16042088128690735
0.04,0.3,92.0,0.3,0.22698681840105447,0.17227512525820043,0.33093678725934483,0.07350069687309657,0.22695464275668473,0.027319606239271075,0.4040581788753399,0.07040534496070243
0.04,0.3,92.0,0.4,0.2371995189303186,0.18152911851583936,0.5849814418620204,0.1311728696169008,0.3923542355741074,0.04730617355211923,0.6306697748694086,0.11260079926506365
0.04,0.3,92.0,0.5,0.25361172113179353,0.1954454667764256,0.7955578110313525,0.17804007393983523,0.5828385663202614,0.0721320177571384,0.8290346079885057,0.14835616092190526
0.04,0.6,52.0,0.3,0.16850949514956803,0.13634642383132364,0.44747614482052944,0.10491750132161745,0.2887331993158519,0.03577783211045272,0.5260868570118331,0.09556652534205631
0.04,0.6,52.0,0.4,0.18790170101955414,0.14719304378066153,0.6948622494871254,0.15535625823085014,0.484004076200212,0.058711307944519994,0.7622596425167251,0.13599057972736683
0.04,0.6,52.0,0.5,0.1787284409808379,0.13697826111665987,0.9291492001144525,0.20400046858385895,0.7005399133995678,0.08578052273286782,0.9800118634893111,0.17284004916432089
0.04,0.6,72.0,0.3,0.2048237959410831,0.1633792347181437,0.36462856709457386,0.08698996430090797,0.24665303022850413,0.03040455931105603,0.4732505588420285,0.08665217983030514
0.04,0.6,72.0,0.4,0.2368969864564938,0.18444349594990417,0.5983080617318113,0.13516465702014407,0.4254514477330522,0.05113556567363252,0.6945923287326453,0.124944385073766
0.04,0.6,72.0,0.5,0.24975705171764734,0.19198712631036033,0.8202033413788765,0.18153494350698487,0.6326920548866074,0.07719813837806434,0.8985674685527728,0.15975480981392928
