h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu,RMSE relative Iv,RMSE Iv,RMSE relative Iw,RMSE Iw
0.08,1.2,52.0,0.35,0.3182208686924115,0.2532085075968152,0.18307595074453822,0.045705945414421606,0.43589078986404795,0.05854198523622354,0.24336387539054166,0.04186094466399875
0.08,1.2,52.0,0.4,0.34619826931826153,0.2716588004140253,0.29190641727024436,0.06344305053716441,0.35741979717091305,0.04836466620946073,0.3761462417172119,0.06319328493015053
0.08,1.2,52.0,0.45,0.35935996421751426,0.278700282449838,0.42502460082965754,0.08815789224482419,0.34047458044416584,0.044217911593009036,0.5097306951735556,0.08503116484824885
0.08,1.2,52.0,0.5,0.36290171813602595,0.2786561306259619,0.5546256419078524,0.11369179468427815,0.3854693259104864,0.04715320094807306,0.6368407030873557,0.10604427056298611
0.08,1.2,52.0,0.55,0.35613082310411254,0.2708129979436527,0.677940644295176,0.13876674262595795,0.4792625931624344,0.05652779664704869,0.7630192348974961,0.12684187086912274
0.08,1.2,57.0,0.35,0.32267767592152524,0.2566592358710828,0.15093165002792083,0.03883860459747346,0.5925260670054158,0.08030784528671613,0.17133538946801632,0.030048550154481917
0.08,1.2,57.0,0.4,0.3532908484366849,0.27725468140308607,0.22346556188700378,0.04984428524941801,0.4800520600190125,0.06692906806293641,0.29414364440933527,0.049839746629837284
0.08,1.2,57.0,0.45,0.37135856997883543,0.28830067789122216,0.3433129663702591,0.0716081218119447,0.4070585486518439,0.05711923775145381,0.4197232188460311,0.07045289562139377
0.08,1.2,57.0,0.5,0.38184740179670906,0.29391880541243,0.46618604669814095,0.09558751548176905,0.38891649131485023,0.05261149808341066,0.5427780993141058,0.09068815437495766
0.08,1.2,57.0,0.55,0.38405096690010926,0.2933599659678189,0.588726190309748,0.1201900364507696,0.43484229226855664,0.05501802809302399,0.6702956166799102,0.111384724449944
0.08,1.2,62.0,0.35,0.32389675183597016,0.25773604523203575,0.14942886994129706,0.03695879961402455,0.5071812481293002,0.06790386924983577,0.09875496474038574,0.018451055473979423
0.08,1.2,62.0,0.4,0.3586716136266847,0.2817407462071708,0.14503985568220631,0.03450519073509857,0.4005253357998949,0.05513550064387847,0.19616929107045616,0.033482209299591496
0.08,1.2,62.0,0.45,0.3835805124554449,0.29838150308815714,0.23924918049658372,0.05041158632006632,0.33038030331705265,0.04575219636919571,0.3139592544279562,0.05261383076963857
0.08,1.2,62.0,0.5,0.4039954064387161,0.31211866159065516,0.3535911903472369,0.07234966268765303,0.314492438844994,0.041727147557892266,0.4318610674036267,0.07197671690933763
0.08,1.2,62.0,0.55,0.41930489732647797,0.3222666740186786,0.4690816179852619,0.09547418825874349,0.36328309979145496,0.04489363760154006,0.5541630566895137,0.09185434953387017
0.08,1.2,67.0,0.35,0.3339740454242869,0.26585287607085256,0.19350806239180177,0.04312953869101689,0.5550121128456101,0.07371097630693285,0.08175888762014856,0.015101807328656017
0.08,1.2,67.0,0.4,0.37436427160449054,0.29441812716567056,0.11377643224664419,0.027942882644492135,0.4424294756500537,0.060464916322803645,0.11001193672922968,0.018670151631577595
0.08,1.2,67.0,0.45,0.4053251000747203,0.3159363749745348,0.15332345209779955,0.03315913890714645,0.3551104773244638,0.04954258262847911,0.21792584809208504,0.03612474245729468
0.08,1.2,67.0,0.5,0.4317832762499884,0.3345069280982174,0.25329236181715403,0.05169953476882764,0.3090074302318177,0.04257632985061086,0.3319721866655602,0.0548543422925122
0.08,1.2,67.0,0.55,0.4541107480615572,0.3502630939059822,0.36572300883333764,0.07387406249934406,0.32463062677937266,0.04188193332067543,0.452867390620264,0.07443693372590356
0.08,1.2,72.0,0.35,0.35075224188573684,0.2788579453152998,0.2255233797877415,0.04905023215343788,0.6437071763407817,0.08542342204345738,0.12154427811230915,0.021937425015006777
