h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu
0.1,0.3,37.0,0.3,1.2532772298532373,0.8136588461521499,0.9035394499820827,0.21561305572749165
0.1,0.3,37.0,0.4,1.270366312631496,0.8178903414141452,1.0160102392937076,0.2306314446894599
0.1,0.3,37.0,0.5,1.2272165699595678,0.7832420360882596,1.1822259212516715,0.26188941045536673
0.1,0.3,47.0,0.3,1.3808157998951691,0.8949141871048875,0.8356705997168211,0.1951853468563034
0.1,0.3,47.0,0.4,1.380348502525674,0.8876913298780856,0.9967181809870569,0.22235678532780018
0.1,0.3,47.0,0.5,1.334244547132691,0.8514744496439369,1.1878153188236498,0.2610365510664349
0.1,0.3,57.0,0.3,1.21522372579315,0.787766929901504,0.9092439639360229,0.2197511428952282
0.1,0.3,57.0,0.4,1.2396386836027886,0.7974245142004431,0.9754582890936958,0.22472827457591055
0.1,0.3,57.0,0.5,1.223732511478904,0.7819438185351223,1.1078762948372298,0.24776609215285944
0.1,0.3,62.0,0.3,1.0007865928837345,0.6498569761209196,1.0652723123206516,0.2630782650657753
0.1,0.3,62.0,0.4,1.0552101004701593,0.6796460970260343,1.0462070864849955,0.24943599480228795
0.1,0.3,62.0,0.5,1.0669220185111892,0.6827780843533159,1.1134712450577566,0.2560124527460054
0.1,0.6,37.0,0.3,0.8487695317710408,0.5591349909502066,0.5100583143096848,0.11437677635026437
0.1,0.6,37.0,0.4,0.9606106890494539,0.6263607613160873,0.7488938854189668,0.16192115662274942
0.1,0.6,37.0,0.5,0.9743631175659345,0.6290125402494635,0.9964487821226705,0.21468990920851116
0.1,0.6,47.0,0.3,0.8959939605492405,0.5901977464357683,0.4967008937406256,0.11158754780122208
0.1,0.6,47.0,0.4,1.0149812988980849,0.6623529402443628,0.731895729952134,0.15825815024887188
0.1,0.6,47.0,0.5,1.0387249216725591,0.6717516003446079,0.9786911685880395,0.21075915983865723
0.1,0.6,57.0,0.3,0.7997633060971707,0.5283636059881768,0.48224384597930803,0.11164432786967732
0.1,0.6,57.0,0.4,0.937468054765039,0.6132148315957496,0.6734796454762215,0.1471843524175093
0.1,0.6,57.0,0.5,0.9807395414888646,0.635872560548364,0.8991447985392843,0.19394013191101828
0.1,0.6,62.0,0.3,0.6972530013093088,0.46218805992145473,0.4852766026362982,0.11472925820702588
0.1,0.6,62.0,0.4,0.8475349048867088,0.5555561646226538,0.641317241005258,0.14180571121152474
0.1,0.6,62.0,0.5,0.9036789878215877,0.5869552990529351,0.8485673613635869,0.18365515903605192
0.12,0.3,37.0,0.3,1.3793118732362704,0.8968904750888721,1.1142960806451498,0.27349995839919994
0.12,0.3,37.0,0.4,1.3986901040405468,0.9025466476363407,1.1195281029545276,0.26431427797989687
0.12,0.3,37.0,0.5,1.367771973527011,0.8761430985188116,1.2095257219732716,0.275829058436221
0.12,0.3,47.0,0.3,1.5491764790689802,1.0055518226557636,1.0062158055476504,0.24473949476501336
0.12,0.3,47.0,0.4,1.5430958802899926,0.9945066253212799,1.054699784747796,0.24507961602868397
0.12,0.3,47.0,0.5,1.503318150948115,0.9627067781962965,1.1755187909556453,0.26453084893929235
0.12,0.3,57.0,0.3,1.3458573111699488,0.8739156083442854,1.143692289785111,0.2827999521760299
0.12,0.3,57.0,0.4,1.3692602416667192,0.8827345976302337,1.1037339638487167,0.2646688766983036
0.12,0.3,57.0,0.5,1.36162623080629,0.8729453744111736,1.149008599974905,0.26630454675856097
0.12,0.3,62.0,0.3,1.0782558212283697,0.7015298690785662,1.3405439917489577,0.33410907953903834
0.12,0.3,62.0,0.4,1.138151678819479,0.7347565675729401,1.238246874334667,0.3033757280911247
0.12,0.3,62.0,0.5,1.1622552746593544,0.7462534970453554,1.223174063009102,0.29135403646715385
0.12,0.6,37.0,0.3,0.891478658120664,0.5880347047166294,0.583934710342184,0.1393167786286443
0.12,0.6,37.0,0.4,1.01825584247379,0.6653585123197995,0.7308120661653279,0.16321180696207166
0.12,0.6,37.0,0.5,1.046301283497374,0.6775208505241483,0.9391831152770872,0.20424585930621542
